source	target	seed	val_best_pearson	test_pearson	test_spearman	n_target_test	n_source_test	test_pearson_R	test_spearman_R	n_target_test_R	test_pearson_A	n_target_test_A	test_pearson_C	n_target_test_C
/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/5p3p/out_plan8_trim185/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/3p3p/out_plan8_trim185/prepared/split_seed0/weighted	0	0.3706618893988505	0.3099300810952116	0.1272273143685399	243	243	0.1126508196296493	0.0686286039413996	171	0.0795518972117745	50	0.6057628109684772	22
/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/3p3p/out_plan8_trim185/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed0/weighted	0	0.3865901405107835	0.434353820776955	0.2416301815739216	244	243	0.1673219704200558	0.1283192675848118	172	0.085591957136906	51	0.9453140649056057	21
/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/3p3p/out_plan8_trim185/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/5p3p/out_plan8_trim185/prepared/split_seed0/weighted	0	0.3757404573796605	0.3884088579628034	0.2387912096582768	243	243	0.1513748349059943	0.1194499644921574	171	0.1922990911184537	50	0.7792510385201634	22
/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/5p3p/out_plan8_trim185/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed0/weighted	0	0.3944051967714689	0.5695887161974982	0.4918088583642717	244	243	0.4005181354171691	0.3921308276254327	172	0.5318112646665341	51	0.8745840791162139	21
/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/5p5p/out_plan8_trim185/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/3p3p/out_plan8_trim185/prepared/split_seed0/weighted	0	0.4306709697500459	0.3332709378415711	0.0674227451235183	243	243	-0.0043564363162319	-0.0446570858099792	171	0.0681222971561451	50	0.5658898217050096	22
/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/5p3p/out_plan8_trim185/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/5p5p/out_plan8_trim185/prepared/split_seed0/weighted	0	0.3897754526829377	0.408375445056119	0.346032229868999	243	243	0.1801415172923456	0.202007985215339	171	0.3216535423375257	50	0.8428010473976606	22
/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/5p3p/out_plan8_trim185/prepared/split_seed0/weighted	0	0.5450511148681318	0.5879655033879921	0.5210330011222037	243	244	0.4782637491566717	0.4525322247299937	171	0.5801237126894855	50	0.8559659901408188	22
/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/5p5p/out_plan8_trim185/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed0/weighted	0	0.445593063575876	0.6515530060179502	0.6498279700465492	244	243	0.5902058416698986	0.6084103928324642	172	0.6532441415295104	51	0.8470846669757145	21
/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/5p5p/out_plan8_trim185/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/5p3p/out_plan8_trim185/prepared/split_seed0/weighted	0	0.4265502539660963	0.4044908491086758	0.3040435590625347	243	243	0.120797751107657	0.183701865488312	171	0.2240015156391822	50	0.8176750876468417	22
/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_gse142696_plan8/3p3p/out_plan8_trim185/prepared/split_seed0/weighted	0	0.5716492554604881	0.5338975301436393	0.2319539637380639	243	244	0.2692232228344676	0.2042341071194607	171	0.1244813232668999	50	0.5858993812354214	22
