assay	trim	split_seed	model	scope	pearson	spearman	n
HSS	171	split_seed0	cnn_mean_ens	overall	0.7752278786915437	0.47789296209096804	243.0
HSS	171	split_seed0	cnn_mean_ens	overall_non_excluded	0.7752278786915437	0.47789296209096804	243.0
HSS	171	split_seed0	cnn_mean_ens	by_prefix			
HSS	171	split_seed0	kmer_elasticnet_mean_ens	overall	0.7145813998341354	0.3657535042835208	243.0
HSS	171	split_seed0	kmer_elasticnet_mean_ens	overall_non_excluded	0.7145813998341354	0.3657535042835208	243.0
HSS	171	split_seed0	kmer_elasticnet_mean_ens	by_prefix			
HSS	171	split_seed0	kmer_mean_ens	overall	0.7237402946307767	0.37638771398133336	243.0
HSS	171	split_seed0	kmer_mean_ens	overall_non_excluded	0.7237402946307767	0.37638771398133336	243.0
HSS	171	split_seed0	kmer_mean_ens	by_prefix			
HSS	171	split_seed0	onehot_ridge_mean_ens	overall	0.27946674273452704	0.2569668479135735	243.0
HSS	171	split_seed0	onehot_ridge_mean_ens	overall_non_excluded	0.27946674273452704	0.2569668479135735	243.0
HSS	171	split_seed0	onehot_ridge_mean_ens	by_prefix			
HSS	171	split_seed1	cnn_mean_ens	overall	0.6232586475574484	0.3986622247038013	243.0
HSS	171	split_seed1	cnn_mean_ens	overall_non_excluded	0.6232586475574484	0.3986622247038013	243.0
HSS	171	split_seed1	cnn_mean_ens	by_prefix			
HSS	171	split_seed1	kmer_elasticnet_mean_ens	overall	0.5632964979931278	0.29608941584710535	243.0
HSS	171	split_seed1	kmer_elasticnet_mean_ens	overall_non_excluded	0.5632964979931278	0.29608941584710535	243.0
HSS	171	split_seed1	kmer_elasticnet_mean_ens	by_prefix			
HSS	171	split_seed1	kmer_mean_ens	overall	0.5719374825668005	0.30213223619797985	243.0
HSS	171	split_seed1	kmer_mean_ens	overall_non_excluded	0.5719374825668005	0.30213223619797985	243.0
HSS	171	split_seed1	kmer_mean_ens	by_prefix			
HSS	171	split_seed1	onehot_ridge_mean_ens	overall	0.20487980849926007	0.19289731303569033	243.0
HSS	171	split_seed1	onehot_ridge_mean_ens	overall_non_excluded	0.20487980849926007	0.19289731303569033	243.0
HSS	171	split_seed1	onehot_ridge_mean_ens	by_prefix			
HSS	171	split_seed2	cnn_mean_ens	overall	0.653530253283317	0.4795375655902027	243.0
HSS	171	split_seed2	cnn_mean_ens	overall_non_excluded	0.653530253283317	0.4795375655902027	243.0
HSS	171	split_seed2	cnn_mean_ens	by_prefix			
HSS	171	split_seed2	kmer_elasticnet_mean_ens	overall	0.5730448989801329	0.4096793928047582	243.0
HSS	171	split_seed2	kmer_elasticnet_mean_ens	overall_non_excluded	0.5730448989801329	0.4096793928047582	243.0
HSS	171	split_seed2	kmer_elasticnet_mean_ens	by_prefix			
HSS	171	split_seed2	kmer_mean_ens	overall	0.5867747313184188	0.4237839185052691	243.0
HSS	171	split_seed2	kmer_mean_ens	overall_non_excluded	0.5867747313184188	0.4237839185052691	243.0
HSS	171	split_seed2	kmer_mean_ens	by_prefix			
HSS	171	split_seed2	onehot_ridge_mean_ens	overall	0.09992869508381194	0.1204697103969367	243.0
HSS	171	split_seed2	onehot_ridge_mean_ens	overall_non_excluded	0.09992869508381194	0.1204697103969367	243.0
HSS	171	split_seed2	onehot_ridge_mean_ens	by_prefix			
HSS	171	split_seed3	cnn_mean_ens	overall	0.6659668952585748	0.42155739453685676	243.0
HSS	171	split_seed3	cnn_mean_ens	overall_non_excluded	0.6659668952585748	0.42155739453685676	243.0
HSS	171	split_seed3	cnn_mean_ens	by_prefix			
HSS	171	split_seed3	kmer_elasticnet_mean_ens	overall	0.5643417235683476	0.29329313423851794	243.0
HSS	171	split_seed3	kmer_elasticnet_mean_ens	overall_non_excluded	0.5643417235683476	0.29329313423851794	243.0
HSS	171	split_seed3	kmer_elasticnet_mean_ens	by_prefix			
HSS	171	split_seed3	kmer_mean_ens	overall	0.5806114910799945	0.2887218108043437	243.0
HSS	171	split_seed3	kmer_mean_ens	overall_non_excluded	0.5806114910799945	0.2887218108043437	243.0
HSS	171	split_seed3	kmer_mean_ens	by_prefix			
HSS	171	split_seed3	onehot_ridge_mean_ens	overall	0.13344364249909477	0.08003788528339943	243.0
HSS	171	split_seed3	onehot_ridge_mean_ens	overall_non_excluded	0.13344364249909477	0.08003788528339943	243.0
HSS	171	split_seed3	onehot_ridge_mean_ens	by_prefix			
HSS	171	split_seed4	cnn_mean_ens	overall	0.6657391066780051	0.580904001916297	243.0
HSS	171	split_seed4	cnn_mean_ens	overall_non_excluded	0.6657391066780051	0.580904001916297	243.0
HSS	171	split_seed4	cnn_mean_ens	by_prefix			
HSS	171	split_seed4	kmer_elasticnet_mean_ens	overall	0.5738323815412313	0.45362675852155426	243.0
HSS	171	split_seed4	kmer_elasticnet_mean_ens	overall_non_excluded	0.5738323815412313	0.45362675852155426	243.0
HSS	171	split_seed4	kmer_elasticnet_mean_ens	by_prefix			
HSS	171	split_seed4	kmer_mean_ens	overall	0.5751593570826664	0.4457871075674199	243.0
HSS	171	split_seed4	kmer_mean_ens	overall_non_excluded	0.5751593570826664	0.4457871075674199	243.0
HSS	171	split_seed4	kmer_mean_ens	by_prefix			
HSS	171	split_seed4	onehot_ridge_mean_ens	overall	0.09912176810185214	0.09018943871824203	243.0
HSS	171	split_seed4	onehot_ridge_mean_ens	overall_non_excluded	0.09912176810185214	0.09018943871824203	243.0
HSS	171	split_seed4	onehot_ridge_mean_ens	by_prefix			
HSS	185	split_seed0	cnn_mean_ens	overall	0.785131233206343	0.5108447529213336	243.0
HSS	185	split_seed0	cnn_mean_ens	overall_non_excluded	0.785131233206343	0.5108447529213336	243.0
HSS	185	split_seed0	cnn_mean_ens	by_prefix			
HSS	185	split_seed0	kmer_elasticnet_mean_ens	overall	0.7137053740228252	0.3680220186011109	243.0
HSS	185	split_seed0	kmer_elasticnet_mean_ens	overall_non_excluded	0.7137053740228252	0.3680220186011109	243.0
HSS	185	split_seed0	kmer_elasticnet_mean_ens	by_prefix			
HSS	185	split_seed0	kmer_mean_ens	overall	0.7229780442587554	0.369272314971543	243.0
HSS	185	split_seed0	kmer_mean_ens	overall_non_excluded	0.7229780442587554	0.369272314971543	243.0
HSS	185	split_seed0	kmer_mean_ens	by_prefix			
HSS	185	split_seed0	onehot_ridge_mean_ens	overall	0.2794667535562447	0.2569668479135735	243.0
HSS	185	split_seed0	onehot_ridge_mean_ens	overall_non_excluded	0.2794667535562447	0.2569668479135735	243.0
HSS	185	split_seed0	onehot_ridge_mean_ens	by_prefix			
HSS	185	split_seed1	cnn_mean_ens	overall	0.6230744433743631	0.37636095178477563	243.0
HSS	185	split_seed1	cnn_mean_ens	overall_non_excluded	0.6230744433743631	0.37636095178477563	243.0
HSS	185	split_seed1	cnn_mean_ens	by_prefix			
HSS	185	split_seed1	kmer_elasticnet_mean_ens	overall	0.5580604680522459	0.28944737318893005	243.0
HSS	185	split_seed1	kmer_elasticnet_mean_ens	overall_non_excluded	0.5580604680522459	0.28944737318893005	243.0
HSS	185	split_seed1	kmer_elasticnet_mean_ens	by_prefix			
HSS	185	split_seed1	kmer_mean_ens	overall	0.5665234912407622	0.2927512499858479	243.0
