assay	trim	model	scope	mean_pearson	mean_spearman	mean_n
HSS	171	cnn_mean_ens	by_prefix			
HSS	171	cnn_mean_ens	overall	0.6767445562937778	0.47171082976762513	243.0
HSS	171	cnn_mean_ens	overall_non_excluded	0.6767445562937778	0.47171082976762513	243.0
HSS	171	kmer_elasticnet_mean_ens	by_prefix			
HSS	171	kmer_elasticnet_mean_ens	overall	0.597819380383395	0.3636884411390913	243.0
HSS	171	kmer_elasticnet_mean_ens	overall_non_excluded	0.597819380383395	0.3636884411390913	243.0
HSS	171	kmer_mean_ens	by_prefix			
HSS	171	kmer_mean_ens	overall	0.6076446713357314	0.3673625574112692	243.0
HSS	171	kmer_mean_ens	overall_non_excluded	0.6076446713357314	0.3673625574112692	243.0
HSS	171	onehot_ridge_mean_ens	by_prefix			
HSS	171	onehot_ridge_mean_ens	overall	0.1633681313837092	0.14811223906956839	243.0
HSS	171	onehot_ridge_mean_ens	overall_non_excluded	0.1633681313837092	0.14811223906956839	243.0
HSS	185	cnn_mean_ens	by_prefix			
HSS	185	cnn_mean_ens	overall	0.6745522878308652	0.4639645901732127	243.0
HSS	185	cnn_mean_ens	overall_non_excluded	0.6745522878308652	0.4639645901732127	243.0
HSS	185	kmer_elasticnet_mean_ens	by_prefix			
HSS	185	kmer_elasticnet_mean_ens	overall	0.597652586009976	0.3641244990590964	243.0
HSS	185	kmer_elasticnet_mean_ens	overall_non_excluded	0.597652586009976	0.3641244990590964	243.0
HSS	185	kmer_mean_ens	by_prefix			
HSS	185	kmer_mean_ens	overall	0.606782264251239	0.36409564719499243	243.0
HSS	185	kmer_mean_ens	overall_non_excluded	0.606782264251239	0.36409564719499243	243.0
HSS	185	onehot_ridge_mean_ens	by_prefix			
HSS	185	onehot_ridge_mean_ens	overall	0.1633681103152475	0.14811223906956839	243.0
HSS	185	onehot_ridge_mean_ens	overall_non_excluded	0.1633681103152475	0.14811223906956839	243.0
ORI	171	cnn_mean_ens	by_prefix			
ORI	171	cnn_mean_ens	overall	0.7299732015166642	0.5439032682290963	242.0
ORI	171	cnn_mean_ens	overall_non_excluded	0.7299732015166642	0.5439032682290963	242.0
ORI	171	kmer_elasticnet_mean_ens	by_prefix			
ORI	171	kmer_elasticnet_mean_ens	overall	0.6325707713092117	0.4079067525039018	242.0
ORI	171	kmer_elasticnet_mean_ens	overall_non_excluded	0.6325707713092117	0.4079067525039018	242.0
ORI	171	kmer_mean_ens	by_prefix			
ORI	171	kmer_mean_ens	overall	0.6357651246773757	0.40443685891068915	242.0
ORI	171	kmer_mean_ens	overall_non_excluded	0.6357651246773757	0.40443685891068915	242.0
ORI	171	onehot_ridge_mean_ens	by_prefix			
ORI	171	onehot_ridge_mean_ens	overall	0.2070500842647937	0.11750728173970967	242.0
ORI	171	onehot_ridge_mean_ens	overall_non_excluded	0.2070500842647937	0.11750728173970967	242.0
ORI	185	cnn_mean_ens	by_prefix			
ORI	185	cnn_mean_ens	overall	0.734793748842883	0.5423658724772744	242.0
ORI	185	cnn_mean_ens	overall_non_excluded	0.734793748842883	0.5423658724772744	242.0
ORI	185	kmer_elasticnet_mean_ens	by_prefix			
ORI	185	kmer_elasticnet_mean_ens	overall	0.6361091956583483	0.412977213564525	242.0
ORI	185	kmer_elasticnet_mean_ens	overall_non_excluded	0.6361091956583483	0.412977213564525	242.0
ORI	185	kmer_mean_ens	by_prefix			
