effect_bin	n	mean_abs_delta	emvar_rate	median_fdr
0.0	11868	0.013599525264054687	8.426019548365353e-05	0.9742480763500276
1.0	11868	0.04106730423565787	0.0	0.9199006931617556
2.0	11868	0.06954013788219453	0.0	0.8555337452608094
3.0	11867	0.10014303011897366	0.0	0.7779578115767578
4.0	11868	0.13384658215964412	8.426019548365353e-05	0.6910331098404086
5.0	11868	0.1735676595122853	0.007836198179979777	0.5882149564516322
6.0	11867	0.222725366630723	0.06311620460099436	0.4785021667575442
7.0	11868	0.29229960499528773	0.1827603640040445	0.3615678996020714
8.0	11868	0.4129686472740817	0.33813616447590156	0.22996206653238124
9.0	11868	1.0296887720942598	0.4769969666329626	0.1223914985856666
	2297		0.0	
