seed	source_prepared	target_prepared	val_best_pearson	source_test_pearson	source_test_spearman	target_test_pearson	target_test_spearman	n_target_test	source_split_seed	model_seed
0	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed0	0.5335599838672402	0.6228915173332814	0.5544973544973545	0.012819785512256474	0.013013359757598755	24195	0	0
1	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed0	0.5833013901253701	0.5993880027947293	0.4729737432313545	0.010715227072498695	0.014112308356215464	24195	0	1
2	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed0	0.5811182841340399	0.6123902877197137	0.5199426704500866	0.009744797547864831	0.009264933890820405	24195	0	2
3	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed0	0.5526570637155123	0.5949472812708473	0.49194536345199885	0.009869935187798141	0.006410466070685981	24195	0	3
4	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed0/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed0	0.5594095925635171	0.6042214750692316	0.493440557765304	0.010980611284541756	0.008462100198163422	24195	0	4
0	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed1/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed1	0.6150351638127224	0.5905376267413478	0.3773506974131486	0.007802101589744026	0.00321481874120658	24195	1	0
1	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed1/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed1	0.5994135344741742	0.6251659245752226	0.42390741360296397	0.012152280789536396	0.0036968759944935106	24195	1	1
2	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed1/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed1	0.5874686075312233	0.6131014957363676	0.4121969856552214	0.010636074801804979	0.004133072602847693	24195	1	2
3	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed1/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed1	0.6083511310636786	0.613342526294161	0.392916413681441	0.012146586354391906	0.0067993084167978675	24195	1	3
4	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_plan8/prepared/split_seed1/weighted	/mount/ictr1/chenglab/xpan/unireg/unireg2/plan8_clean_minimal_runpack_v1/out_variant_mpra_transfer/target_prepared_split_seed1	0.6322224971888828	0.6060384182623889	0.37049428150130725	0.005977456771435103	0.005167427122048176	24195	1	4
